,Num days
easymotion/vim-easymotion,2.432476851851852
kubernetes/minikube,18.550856399973917
mitmproxy/mitmproxy,73.71071828703704
reorx/httpstat,374.510240162037
ashleymills/Reachability.swift,136.39247023809523
ahmetb/kubectx,114.56565625
mapstruct/mapstruct,100.21927940672153
google/python-fire,253.94802372685186
numba/numba,73.09666253306878
clauderic/dnd-kit,8.948605922733078
spf13/viper,82.17310940016104
bitcoin/bitcoin,71.97696456128747
mrmrs/colors,221.05467592592592
feathersjs/feathers,45.12595713197374
ElemeFE/v-charts,6.202161208276177
akveo/kittenTricks,159.5036188271605
restify/node-restify,274.23003577441074
ds300/patch-package,66.09148871527778
pallets/click,73.88792415577342
htr-tech/zphisher,125.38370241769546
kaorun343/vue-property-decorator,66.91094367283951
hibernate/hibernate-orm,208.448649691358
tobiasahlin/SpinKit,195.3407175925926
microsoft/SandDance,478.5181539351852
wolfpld/tracy,79.20255125661375
Haneke/HanekeSwift,753.4271643518518
SirVer/ultisnips,1026.974386574074
pagekit/vue-resource,42.538705261752135
microsoft/napajs,22.23895477207977
zenorocha/clipboard.js,58.798715277777774
openai/gym,115.08542438271604
google/blockly,30.57374924104432
Famous/famous,36.472636959876546
adamwdraper/Numeral-js,144.56913708847736
Yalantis/Side-Menu.Android,1479.1191203703704
ionic-team/stencil,11.991287365121027
apache/brpc,177.57773989898988
GoogleCloudPlatform/microservices-demo,43.09579124579125
picturepan2/spectre,38.94475189933523
harelba/q,146.98616228070173
krisk/Fuse,113.69512865028491
rastapasta/mapscii,146.88450066137565
99designs/gqlgen,24.153336082175926
akiran/react-slick,67.23563835470085
ruby-concurrency/concurrent-ruby,64.88477638888888
ggerganov/whisper.cpp,22.323022762345683
nlohmann/json,61.280112433862435
overleaf/overleaf,63.636369598765434
danialfarid/ng-file-upload,5.359972545219638
OnsenUI/OnsenUI,44.2156922638218
appleboy/gorush,74.72726817810458
Maximus5/ConEmu,13.41693409792368
aksakalli/gtop,198.13046296296295
greatscottgadgets/hackrf,458.1617611882716
google/gops,83.27268652065527
jaredpalmer/formik,11.819770977259644
jesseduffield/lazydocker,42.58045920920921
XVimProject/XVim,10.138987268518518
chrisjenx/Calligraphy,156.45686342592592
Tonejs/Tone.js,153.3308978174603
browserify/browserify,124.45038105413107
spf13/cobra,104.58831505847952
gildas-lormeau/SingleFile,26.783361625514402
huggingface/tokenizers,17.753373183309893
joke2k/faker,16.50252013120941
django-oscar/django-oscar,310.9953310185185
pypa/pipenv,20.93717793880837
ptomasroos/react-native-scrollable-tab-view,353.13417824074077
coteditor/CotEditor,22.825870878500453
share/sharedb,27.879127348856205
Unity-Technologies/ml-agents,36.86450771604938
aws/aws-sam-cli,12.303739443426943
airbnb/knowledge-repo,73.09292607060185
mps-youtube/yewtube,105.67232603815937
yhirose/cpp-httplib,14.996393995098039
davisking/dlib,116.06141944444444
luin/medis,101.39387442129629
YiiGuxing/TranslationPlugin,35.46771327160494
agalwood/Motrix,79.08944039351853
PyGithub/PyGithub,48.75156475835592
morhetz/gruvbox,506.38028549382716
hilongjw/vue-lazyload,85.56940850389863
mawww/kakoune,129.5831550925926
microsoft/unilm,15.631290509259259
cookiecutter/cookiecutter,142.3073161502849
zo0r/react-native-push-notification,34.294215345860565
zulip/zulip,32.00352907509158
jonobr1/two.js,137.21471643518518
egoist/tsup,6.409728197966988
redis/ioredis,17.87541519077803
chriskiehl/Gooey,107.52179976851852
reactide/reactide,0.0
guzzle/promises,270.4580659722222
jnunemaker/httparty,0.13218749999999999
aws/aws-sdk-go,1.8234960006760204
wix/Detox,8.053446236559141
NVIDIA/NeMo,32.854689922480624
php-pm/php-pm,76.41660648148148
bytedeco/javacv,168.48930169753086
Blankj/AndroidUtilCode,19.397937819284802
Mantle/Mantle,103.10647213319088
clsid2/mpc-hc,32.2086719747765
mongodb/mongo-go-driver,19.569866784676833
lingochamp/FileDownloader,14.91744972511574
laravel/laravel,16.003782898909183
google/ExoPlayer,40.252931241426616
angular/angular,3.5769070934104454
RaRe-Technologies/gensim,67.80587632275133
peco/peco,67.96344341016548
s3fs-fuse/s3fs-fuse,185.43411854288502
openzfs/zfs,41.36577060931899
weaveworks/scope,37.522008406432754
ldcsaa/HP-Socket,89.40965172558923
akveo/nebular,35.09409255525687
flightjs/flight,72.97123263888889
tariqbuilds/linux-dash,351.16603009259256
openpgpjs/openpgpjs,31.36990822681088
redis/jedis,41.69046559343434
microsoft/DeepSpeed,22.125253389550267
USArmyResearchLab/Dshell,458.4564814814815
BradLarson/GPUImage,159.77152199074075
gentilkiwi/mimikatz,43.96762615740741
kubeedge/kubeedge,34.18035972222222
symfony/http-foundation,7.364554809249139
qor/qor,667.9528356481482
vrana/adminer,90.37605902777779
metafizzy/isotope,119.65379147376545
DrKLO/Telegram,16.803261888431642
davidjbradshaw/iframe-resizer,75.51829684983896
winstonjs/winston,63.340241837231964
uber/react-vis,19.57435624201788
norvig/paip-lisp,178.4815451388889
getpelican/pelican,113.15685506687242
timber/timber,26.112466919490416
Automattic/kue,56.83525977366255
slimphp/Slim,62.04032721280603
dgtlmoon/changedetection.io,14.000126818783068
kitao/pyxel,9.417742865816637
sghall/react-move,40.47749338624339
matze/mtheme,207.94200810185183
donnemartin/gitsome,265.84044849537037
crimx/ext-saladict,19.851721724645206
jemalloc/jemalloc,100.17460148358587
vuejs/pinia,13.574675202546295
bower/bower,66.9887596971972
evant/gradle-retrolambda,35.43906571502058
graphql/dataloader,300.9911535493827
jhen0409/react-native-debugger,27.853366085500394
webpack/webpack-dev-server,19.85693185185185
hrydgard/ppsspp,60.9815803062678
sveinbjornt/Sloth,115.54041280864197
mozilla/pdf.js,63.311558291245795
bvaughn/react-window,30.583524305555557
tiangolo/fastapi,10.530615308456047
lets-blade/blade,200.78582899305556
felixrieseberg/windows95,115.94124465811966
dotansimha/graphql-code-generator,1.2276696467396444
facebook/infer,75.50665922619048
google/go-cloud,56.51303731762064
Bash-it/bash-it,64.87303144290124
primefaces/primeng,12.11028436302682
DATA-DOG/go-sqlmock,132.2678481867284
